frac,Class transformation,Two-model (T-learner),Response model (the usual way),Random
0.778774569354889,1078.151651473896,1051.7274128527388,1058.9678909952606,978.9409668606722
0.7850045167118338,1089.4772593724292,1058.4292264284034,1068.7686154570051,987.0445282129815
0.7912344640687786,1092.060245183888,1073.9496562172242,1082.5614711033274,990.0147333956968
0.7974644114257234,1097.065617405393,1076.675260115607,1084.5421686746988,1007.1733426216185
0.8036943587826683,1099.3118971061092,1094.7911116214973,1089.9773719274062,1011.5625287885769
0.8099243061396131,1106.2200433245923,1100.6760820045558,1095.478181611029,1019.0649217053376
0.8161542534965579,1115.6781310102954,1106.8653541525232,1101.7028126058963,1030.84515178976
0.8223842008535028,1109.024477880081,1112.1660856853705,1110.2539255271422,1040.8213081591368
0.8286141482104477,1105.5695526374361,1106.4874916238552,1114.2328018731187,1042.4559562353468
0.8348440955673925,1110.0462932272676,1107.7725255215269,1120.4670579116378,1053.2815576944352
0.8410740429243373,1114.0061396776669,1117.8118877270224,1126.2034494122818,1060.516832986073
0.8473039902812821,1120.137116096711,1123.6129243532366,1127.4844517184943,1059.0588171223178
0.8535339376382269,1127.5589571614018,1133.655504984829,1137.2857142857142,1074.9305390515285
0.8597638849951718,1144.1864661654135,1142.0674266050112,1141.7232305874772,1080.2280193236716
0.8659938323521166,1150.826374094589,1137.6109746984093,1139.3198121263877,1092.955242966752
0.8722237797090615,1161.4203189354735,1147.8099734748012,1150.1539440203564,1105.1224597798475
0.8784537270660063,1163.2490039840638,1165.7011058451817,1157.350221192332,1120.1534419337888
0.8846836744229511,1178.6185115697313,1168.494822717289,1174.898221757322,1132.4216075156576
0.890913621779896,1181.766058847907,1162.7129062402657,1187.2445990859992,1147.6552688840534
0.8971435691368408,1191.7857142857142,1166.7864508146008,1194.5643962848299,1154.4875990532057
0.9033735164937856,1202.1336264185666,1181.177609341391,1201.5143530859132,1162.8290240163517
0.9096034638507304,1210.051739880288,1193.6015466015465,1210.4543973941368,1171.0896068271868
0.9158334112076753,1207.7156961515211,1196.6198079838302,1215.0512483574244,1175.2611503531787
0.9220633585646202,1208.7143286272153,1204.491573033708,1226.3113141250878,1184.4887353559627
0.928293305921565,1219.6599383513972,1209.658633738299,1225.2827235569735,1193.1736753156379
0.9345232532785098,1229.6505333860132,1219.8700464472772,1237.554080824089,1196.0068148148148
0.9407532006354546,1240.8511472837813,1224.395915161037,1245.1042793900642,1204.327604831582
0.9469831479923995,1248.190253411306,1239.204450082951,1251.6764705882351,1213.745901639344
0.9532130953493443,1248.2307915899623,1244.0028119848735,1262.7034482758622,1224.435010177377
0.9594430427062891,1254.3337504813248,1247.525727500482,1265.6037026323402,1233.535380764417
0.9656729900632339,1270.082767199311,1256.7698716720934,1266.91807205826,1237.8133192995888
0.9719029374201787,1274.845152091255,1271.0120802815559,1277.372824950081,1247.1928340619652
0.9781328847771237,1283.0377197958023,1268.8418565081765,1280.82958836858,1255.2625365945792
0.9843628321340685,1291.260306132031,1278.1341406176662,1285.0332082551595,1268.8468755864142
0.9905927794910133,1296.994865571322,1283.2997295532969,1289.3314680096996,1280.4984618253006
0.9968227268479581,1296.6560615898343,1292.070276284072,1295.5785667933624,1291.3705282669139
