age,decile,n,median_km,ratio,rate,event
11,2,1566,82560.953125,0.5963429808616638,1.085916371957562,to_market
11,3,1586,100989.5546875,0.7294539213180542,1.099785035711809,to_market
11,4,1620,116445.6953125,0.8410946130752563,1.1233617640940294,to_market
11,5,1774,130965.1953125,0.9459698796272278,1.2301504750017336,to_market
11,6,1695,145912.78125,1.0539371967315674,1.1753692531724569,to_market
11,7,1646,162083.46875,1.1707390546798706,1.1413910269745509,to_market
11,8,1463,181474.453125,1.310801386833191,1.0144927536231885,to_market
11,9,1112,208443.03125,1.5055971145629883,0.7710977047361486,to_market
11,10,579,261433.109375,1.888347864151001,0.4014978156854587,to_market
12,1,1286,57112.3984375,0.39275750517845154,1.0486830302536083,to_market
12,2,1322,86988.265625,0.5982115268707275,1.0780396314115632,to_market
12,3,1377,106384.078125,0.7315950393676758,1.1228899942917718,to_market
12,4,1412,122624.7734375,0.8432810306549072,1.1514311343064503,to_market
12,5,1466,137859.625,0.9480499029159546,1.1954660360433824,to_market
12,6,1614,153109.765625,1.0529239177703857,1.316154285248308,to_market
12,7,1336,169576.578125,1.1661648750305176,1.0894560874174346,to_market
12,8,1133,189208.96875,1.3011753559112549,0.9239174753323004,to_market
12,9,837,216126.859375,1.4862875938415527,0.6825409769224496,to_market
12,10,480,267553.4375,1.8399441242218018,0.39142134877273094,to_market
13,1,836,53564.6015625,0.3651869297027588,0.8636363636363636,to_market
13,2,987,84833.3515625,0.5783675909042358,1.0196280991735536,to_market
13,3,1108,105688.8359375,0.7205538749694824,1.1446280991735536,to_market
13,4,1181,122871.8046875,0.8377020359039307,1.2200413223140494,to_market
13,5,1159,138757.640625,0.9460067749023438,1.197314049586777,to_market
13,6,1275,154708.65625,1.0547558069229126,1.3171487603305783,to_market
13,7,1133,171763.671875,1.1710317134857178,1.1704545454545454,to_market
13,8,902,191878.859375,1.3081707954406738,0.9318181818181818,to_market
13,9,675,218428.21875,1.4891761541366577,0.6973140495867769,to_market
13,10,424,268776.53125,1.8324353694915771,0.4380165289256198,to_market
14,1,870,65698.25,0.4077264368534088,1.1253395421032208,to_market
14,2,1052,98450.8125,0.6109904050827026,1.3607554003363083,to_market
14,3,930,119566.2109375,0.7420335412025452,1.2029491656965463,to_market
14,4,1037,137038.859375,0.8504696488380432,1.341352994437977,to_market
14,5,1047,153178.96875,0.9506359100341797,1.354287931703531,to_market
14,6,819,169360.921875,1.0510618686676025,1.059371362048894,to_market
14,7,714,187042.78125,1.1607964038848877,0.9235545207605742,to_market
14,8,562,207819.421875,1.2897372245788574,0.7269434743241495,to_market
14,9,447,235434.15625,1.4611154794692993,0.5781916957702755,to_market
14,10,253,285975.59375,1.774778127670288,0.32725391281852284,to_market
15,1,750,67457.265625,0.40620216727256775,1.086326767091541,to_market
15,2,873,101383.84375,0.6104952096939087,1.2644843568945536,to_market
15,3,928,123287.015625,0.7423878312110901,1.3441483198146003,to_market
15,4,901,141281.09375,0.8507413864135742,1.3050405561993046,to_market
15,5,948,157802.609375,0.9502277374267578,1.373117033603708,to_market
15,6,707,174512.4375,1.0508480072021484,1.0240440324449593,to_market
15,7,682,192635.265625,1.159976840019226,0.9878331402085747,to_market
15,8,519,213902.734375,1.2880414724349976,0.7517381228273464,to_market
15,9,350,241718.640625,1.4555383920669556,0.5069524913093858,to_market
15,10,246,291984.09375,1.7582179307937622,0.3563151796060255,to_market
16,1,528,67518.421875,0.40222811698913574,1.0997708810664444,to_market
16,2,590,101610.7578125,0.6053267121315002,1.2289106436159132,to_market
16,3,603,123960.5234375,0.7384712100028992,1.2559883357633828,to_market
16,4,598,142307.0625,0.847767174243927,1.2455738387835866,to_market
